symbol,strategy,entry_time,exit_time,actual_entry_close,slippage_entry_price,actual_exit_close,slippage_exit_price,qty,side,pnl,equity
cash_ACC,MovingAverage,2024-08-01 09:54:00,2024-08-01 10:02:00,2553.2,2554.4765999999995,2546.65,2545.3766750000004,50,LONG,-454.99624999995376,-454.99624999995376
cash_ACC,MovingAverage,2024-08-01 11:30:00,2024-08-01 11:31:00,2519.95,2521.2099749999998,2518.55,2517.2907250000003,50,LONG,-195.96249999997326,-650.958749999927
cash_ACC,MovingAverage,2024-08-01 11:33:00,2024-08-01 11:53:00,2521.0,2522.2605,2518.9,2517.64055,50,LONG,-230.9974999999895,-881.9562499999165
cash_ACC,MovingAverage,2024-08-01 12:45:00,2024-08-01 13:43:00,2501.1,2502.3505499999997,2506.5,2505.2467500000002,50,LONG,144.8100000000295,-737.146249999887
cash_ACC,MovingAverage,2024-08-01 14:48:00,2024-08-01 14:59:00,2490.3,2491.54515,2487.15,2485.906425,50,LONG,-281.93624999998974,-1019.0824999998767
cash_ACC,MovingAverage,2024-08-01 15:14:00,2024-08-01 15:25:00,2491.75,2492.995875,2485.85,2484.607075,50,LONG,-419.4400000000087,-1438.5224999998854
cash_ACC,MovingAverage,2024-08-02 10:16:00,2024-08-02 11:07:00,2448.85,2450.074425,2452.2,2450.9739,50,LONG,44.973750000008295,-1393.5487499998771
cash_ACC,MovingAverage,2024-08-02 11:33:00,2024-08-02 11:36:00,2454.0,2455.227,2453.6,2452.3732,50,LONG,-142.68999999999323,-1536.2387499998704
cash_ACC,MovingAverage,2024-08-02 12:16:00,2024-08-02 12:37:00,2450.8,2452.0254,2449.9,2448.6750500000003,50,LONG,-167.51749999998538,-1703.7562499998558
cash_ACC,MovingAverage,2024-08-02 12:39:00,2024-08-02 13:04:00,2449.05,2450.2745250000003,2449.1,2447.87545,50,LONG,-119.95375000001332,-1823.709999999869
cash_ACC,MovingAverage,2024-08-02 13:33:00,2024-08-02 13:53:00,2450.15,2451.375075,2449.0,2447.7755,50,LONG,-179.97874999998658,-2003.6887499998556
cash_ACC,MovingAverage,2024-08-02 14:51:00,2024-08-02 14:52:00,2440.25,2441.470125,2440.1,2438.87995,50,LONG,-129.50874999999087,-2133.1974999998465
cash_ACC,MovingAverage,2024-08-02 15:28:00,2024-08-05 09:15:00,2435.4,2436.6177,2411.75,2410.5441250000003,50,LONG,-1303.6787499999718,-3436.8762499998184
cash_ACC,MovingAverage,2024-08-05 09:40:00,2024-08-05 10:03:00,2433.3,2434.51665,2419.3,2418.0903500000004,50,LONG,-821.3149999999814,-4258.1912499998
cash_ACC,MovingAverage,2024-08-05 11:41:00,2024-08-05 12:00:00,2376.2,2377.3880999999997,2369.4,2368.2153000000003,50,LONG,-458.6399999999685,-4716.831249999768
cash_ACC,MovingAverage,2024-08-05 12:15:00,2024-08-05 12:31:00,2373.15,2374.336575,2366.0,2364.817,50,LONG,-475.9787499999902,-5192.8099999997585
cash_ACC,MovingAverage,2024-08-05 13:12:00,2024-08-05 14:19:00,2355.0,2356.1775,2381.3,2380.10935,50,LONG,1196.5925000000198,-3996.2174999997387
cash_ACC,MovingAverage,2024-08-05 14:47:00,2024-08-05 15:22:00,2379.05,2380.239525,2382.2,2381.0089,50,LONG,38.468749999992724,-3957.748749999746
cash_ACC,MovingAverage,2024-08-05 15:29:00,2024-08-06 09:41:00,2385.5,2386.6927499999997,2405.15,2403.9474250000003,50,LONG,862.7337500000294,-3095.0149999997166
cash_ACC,MovingAverage,2024-08-06 09:53:00,2024-08-06 10:26:00,2416.2,2417.4080999999996,2418.95,2417.740525,50,LONG,16.62125000002561,-3078.393749999691
cash_ACC,MovingAverage,2024-08-06 10:53:00,2024-08-06 11:08:00,2415.95,2417.1579749999996,2414.2,2412.9928999999997,50,LONG,-208.2537499999944,-3286.6474999996854
cash_ACC,MovingAverage,2024-08-06 11:16:00,2024-08-06 11:48:00,2416.7,2417.9083499999997,2412.05,2410.8439750000002,50,LONG,-353.2187499999736,-3639.866249999659
cash_ACC,MovingAverage,2024-08-06 12:24:00,2024-08-06 12:26:00,2397.55,2398.748775,2395.0,2393.8025000000002,50,LONG,-247.31374999998934,-3887.1799999996483
